arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
biological_veto_capture,1835087712,0,200,0.9877964547850282,0.9879944202515437,0.06778274263213598,0.9877964547850282,0.09935098663025749,0.2,0.6661816560739477,0.5096800351978127,0.55,1.3910484694944334,206,0.12100043997265834,0.23114192161976893,0.12292248907972725,0.1495228698532192,0.3670995344527849,0.008312745021841464,0.0,0.2,False,False,0.0,2
biological_veto_capture,1835087712,1,206,0.9852152986892482,0.9853541621639615,0.07058409545270572,0.9852152986892482,0.11664376276389633,0.2,0.679177636893551,0.5334463693994729,0.5813882062799594,1.3509558879365136,205,0.3031291995193858,0.23177450426964727,0.0005001261304032189,0.171613426514962,0.2319410313997966,0.061041712165805215,0.0,0.2,False,False,0.0,0
biological_veto_capture,1835087712,2,205,0.9879867128024891,0.9879893178543327,0.10225492082098037,0.9879867128024891,0.1360466836796159,0.05600000000000001,0.6919368223393931,0.5376919232349715,0.6061411331560583,1.282015611051244,208,0.07397340381840398,0.39112491156041657,0.03991445904226279,0.24363421220762732,0.2144587375204744,0.03689427585081511,0.4,0.0,False,False,0.0,0
biological_veto_capture,1835087712,3,208,0.9790766087430953,0.985103958815399,0.04056804227151652,0.9790766087430953,0.16104865554287642,0.4,0.7038783400784998,0.5363579073576354,0.6419781038775363,1.1869621511629802,216,0.006882253555156055,0.31117492917150147,0.059272743906919646,0.32375561374848344,0.28225542018541866,0.016659039432520756,0.0,0.4,False,False,0.0,0
biological_veto_capture,1835087712,4,216,0.9821973117896502,0.9823043465466273,0.07263172678571674,0.9821973117896502,0.18473545753246606,0.21400000000000002,0.7005768296908894,0.5533062810153846,0.6775716254903701,1.16561363674902,220,0.23457836282038708,0.1424292016635221,0.006868620789223362,0.20650676317323258,0.29895666000293697,0.11066039155069798,0.2,0.2,False,False,0.0,0
biological_veto_capture,1835087712,5,220,0.9866692091835406,0.9867667200757932,0.07340960122868077,0.9866692091835406,0.20200244009348264,0.22400000000000003,0.7097425244254034,0.5746142399151815,0.6961557608783399,1.1629716716668068,220,0.29966591188207636,0.17106745289872932,0.055284095292443006,0.13478487264051997,0.23170648968503385,0.10749117760119752,0.8,0.0,False,False,0.0,0
biological_veto_capture,1835087712,6,220,0.9788430471183264,0.9795077048262707,0.05807299123221089,0.9788430471183264,0.22065214060804933,0.326,0.7199113391802172,0.5780142051517124,0.7252775694451972,1.1070194497413102,219,0.08913346540362586,0.21351568910542976,0.11611737949597326,0.23690255584573802,0.2936869232734566,0.050643986875776585,0.6,0.2,False,False,0.0,0
biological_veto_capture,1835087712,7,219,0.9835418700330552,0.9836413515811129,0.07322508349393447,0.9835418700330552,0.23663109859397147,0.256,0.7269702527545718,0.5879315588880832,0.7233827943641151,1.118000397114608,218,0.17272579992445505,0.22909278694195973,0.1407845459642822,0.28960272578384283,0.15316490931718849,0.01462923206827182,0.4,0.2,False,False,0.0,0
biological_veto_capture,1835087712,8,218,0.9625346035660454,0.9872619509169266,0.029349000154938628,0.9625346035660454,0.25693030720793025,0.526,0.7355438050759633,0.583639344789442,0.7510445149277036,1.0565020411264854,223,0.0013045480720370506,0.2359040401444457,0.0005075924554354775,0.2924039977280303,0.4678542404953179,0.002025581104733711,0.6,0.4,False,False,0.0,0
biological_veto_capture,1835087712,9,223,0.9872233712787678,0.9878853816694434,0.05817255193897068,0.9872233712787678,0.3033909828064963,0.326,0.7376139575319164,0.5931505336834795,0.7759400634349333,1.0363527959614915,236,0.17116445166886882,0.18332507973902598,0.012285067812897312,0.2676869944567985,0.32642986248124,0.03910854384116951,0.6,0.2,False,False,0.0,0
biological_veto_capture,1835087712,10,236,0.9832223758480393,0.9866330569983689,0.04511281882943048,0.9832223758480393,0.3170154044291289,0.41400000000000003,0.7494877789098464,0.5967900095435659,0.7983460570914399,0.9973918242029285,234,0.10371253180325392,0.20430412310629395,0.10734076574114827,0.18768558503874236,0.3152751416802696,0.08168185263029198,0.2,0.4,False,False,0.0,0
biological_veto_capture,1835087712,11,234,0.9867200347307415,0.9867200495140643,0.14341187252466164,0.9867200347307415,0.35328252547573996,0.0,0.7521876635808388,0.5978397044927916,0.818511451382296,0.9710325505494719,247,0.0736149428300504,0.24399984526594923,0.06135667235661956,0.2412673623588849,0.3755397329207308,0.004221444267765116,0.0,0.0,False,False,0.0,0
