arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
M1,1835087602,0,200,0.9872293219669226,0.9874604721047955,0.06654482818619571,0.9872293219669226,0.10223536981715481,0.2,0.6650852754740266,0.5021766890597653,0.55,1.3728292584923818,205,0.02720861324706646,0.17462315005596257,0.1443518187319688,0.3099976515252862,0.3179280902241167,0.025890676215599408,0.0,0.2,False,False,0.0,2
M1,1835087602,1,205,0.9843684697652233,0.9843731486470736,0.09756426015124409,0.9843684697652233,0.12304917439889113,0.05600000000000001,0.6802933688339652,0.5094751412911733,0.5950000000000001,1.258663954248861,207,0.09259108355495295,0.21599148122731898,0.008179888637308676,0.23026595365569105,0.3730756199391736,0.07989597298555479,0.4,0.0,False,False,0.0,0
M1,1835087602,2,207,0.9779783511679387,0.9871965220639566,0.03720294267295395,0.9779783511679387,0.14318957179053782,0.42400000000000004,0.6956846938091331,0.5190441391865123,0.624865194121831,1.194003249529989,207,0.12553443699872,0.17444169358659886,0.08913313478841889,0.27211700224160773,0.24682597060915443,0.09194776177550011,0.8,0.2,False,False,0.0,0
M1,1835087602,3,207,0.9824281082988091,0.9873602763900153,0.04218247767135332,0.9824281082988091,0.16577255502386903,0.4,0.7073845294837176,0.521809258195741,0.6585495371595849,1.1201283105297175,209,0.04646657460692952,0.20980468729432944,0.012017938380675353,0.3441256502782227,0.280854312249685,0.10673083719015812,0.0,0.4,False,False,0.0,0
M1,1835087602,4,209,0.9880665242081972,0.9881393906696417,0.07573971997791715,0.9880665242081972,0.18518714228462546,0.2,0.6996468117842939,0.536303893667254,0.6926945834436263,1.1065990650014057,210,0.19481372976625058,0.13185945037713467,0.10292983231834278,0.22237146958909387,0.31038526779316505,0.03764025015601315,0.0,0.2,False,False,0.0,0
M1,1835087602,5,210,0.9770220563824931,0.9770760303057152,0.07803913204345753,0.9770220563824931,0.210208794355857,0.21400000000000002,0.7144173024105421,0.5506244888374571,0.7019967674873955,1.097914311238482,217,0.20169737316957279,0.1800054659832364,0.0750488017465004,0.3300913460263345,0.19285821194065858,0.020298801133697347,0.2,0.2,False,False,0.0,0
M1,1835087602,6,217,0.9882922305331574,0.9884254859509275,0.07093701063060433,0.9882922305331574,0.23802781034545145,0.256,0.722207459234235,0.5542600672384597,0.731797090738656,1.0487233598437369,223,0.07708503553594341,0.17324572053681142,0.14395001887608797,0.23237609296324713,0.3356564358240851,0.03768669626382487,0.4,0.2,False,False,0.0,0
M1,1835087602,7,223,0.9481393431896602,0.9869084585334599,0.0257663913861022,0.9481393431896602,0.24913153028872573,0.55,0.7379580919226306,0.561931243219709,0.7578146069365356,1.004820549183276,220,0.12980224178965447,0.17809571017520384,0.022532513183795778,0.2566801774771919,0.2959861263587259,0.11690323101542816,1.0,0.2,False,False,0.0,0
M1,1835087602,8,220,0.9622961742873068,0.9843867837106851,0.030223340309867733,0.9622961742873068,0.26911547346634646,0.526,0.7519604325325911,0.5838346810587236,0.7557137762562429,1.0273952682147705,215,0.3265641546576806,0.1707225837537462,0.018105774606128448,0.2747118260218579,0.1684031500668043,0.04149251089378253,0.6,0.4,False,False,0.0,0
M1,1835087602,9,215,0.9893945869585261,0.9894084601767213,0.08895306008651616,0.9893945869585261,0.29771533736167566,0.22400000000000003,0.7577382058271739,0.5835651902838721,0.778428260184647,0.9893537374581318,217,0.04902804097605803,0.2615595048366121,0.10765565552585635,0.2794192685989958,0.2914293077701416,0.010908222292336265,0.8,0.0,False,False,0.0,0
M1,1835087602,10,217,0.9837144558097585,0.983821509438111,0.07264260826418206,0.9837144558097585,0.3061646261143446,0.256,0.7617622882039748,0.5968180422603807,0.7753151636457847,1.0105183331477694,216,0.21788889363377775,0.2539622256489645,0.062388737955619736,0.23833203079664003,0.17364864739801184,0.053779464566986165,0.4,0.2,False,False,0.0,0
M1,1835087602,11,216,0.9769977092241476,0.9805223596087531,0.044801723401877894,0.9769977092241476,0.3197777706855727,0.42400000000000004,0.766949273392559,0.594417538699282,0.7977836472812062,0.9714933781666797,218,0.03050498189900402,0.19799031168616107,0.13779913104876665,0.22645427469487356,0.32783579395303525,0.0794155067181596,0.8,0.2,False,False,0.0,0
M1,1835087602,12,218,0.9889748667637311,0.9889750291305727,0.12435484968523186,0.9889748667637311,0.3405602710247791,0.05600000000000001,0.772695527954102,0.603074122893547,0.8041583886560991,0.9705562227985182,218,0.16721826411536367,0.2052058872597277,0.047365629514054396,0.3204942059939345,0.2307655305150675,0.02895048260185221,0.4,0.0,False,False,0.0,0
M1,1835087602,13,218,0.9869228249322415,0.9875500733466983,0.058599204923501694,0.9869228249322415,0.35239520032094146,0.35,0.7800802910915088,0.6022710946767748,0.8082205206923657,0.9552627472732877,219,0.054383474098814014,0.20236649020828534,0.14402608908323578,0.28394709784810035,0.2223898545093823,0.0928869942521823,1.0,0.0,False,False,0.0,0
M1,1835087602,14,219,0.9810673255437077,0.9810941436409245,0.08363926807105661,0.9810673255437077,0.3710004597328945,0.256,0.7771113193805292,0.6095875748502841,0.820210245706595,0.9563738248305118,223,0.15537543634185186,0.15204953130562282,0.08545858857744178,0.3107893337079707,0.26405888541732875,0.03226822464978418,0.4,0.2,False,False,0.0,0
M1,1835087602,15,223,0.9889662925870177,0.9889662997732868,0.14917179460890262,0.9889662925870177,0.3795846461974427,0.014000000000000002,0.7837158220092629,0.6223039114388937,0.8366785510764139,0.949041667537806,220,0.22744644163904734,0.32614393435330247,0.0032496967458141846,0.13409342761577722,0.2924466497023922,0.016619849943666477,0.2,0.0,False,False,0.0,0
M1,1835087602,16,220,0.9847200863359872,0.9847319043648464,0.09019161730001138,0.9847200863359872,0.3955738054876009,0.22400000000000003,0.7802668766834844,0.6271346356257259,0.8505017745025035,0.9450230288943304,222,0.13682399698471018,0.141978046983529,0.08306388672492086,0.33913960206510163,0.2874553926686552,0.011539074573083171,0.8,0.0,False,False,0.0,0
